ID,Age (1999),Income (1999),Tenure (1999),District (1999),Profit (1999),Profit (2000),Online (1999),Online (2000),Billpay (1999),Billpay (2000)
5688,,,2.5,1100,132,154,0,0,0,0
5689,5,5,5.41,1200,-82,-182,0,1,0,0
5690,,,3.41,1200,-7,,0,,0,
5691,3,3,8.83,1200,224,130,1,1,0,0
5692,,6,5.08,1200,-16,-18,0,0,0,0
5693,2,,14.75,1200,-24,-32,0,0,0,0
5694,2,6,6.33,1200,-62,-17,0,0,0,0
5695,5,6,11.75,1200,-20,-1,0,0,0,0
5696,,,4.08,1200,-6,-36,0,0,0,0
5697,5,6,1.16,1300,768,-58,0,0,0,0
5698,,,7.41,1200,-27,,0,,0,
5699,1,4,6.91,1200,-77,-75,1,1,0,1
5700,4,6,24.33,1200,384,403,0,0,0,0
5701,1,1,6.5,1300,14,-21,1,1,0,0
5702,4,8,16.41,1200,561,8,0,1,0,0
5703,2,9,10.83,1200,1748,1936,0,0,0,0
5704,2,1,5.25,1300,-3,-2,0,0,0,0
5705,5,1,0.91,1200,-28,-28,0,0,0,0
5706,4,3,1.91,1100,-39,-57,0,0,0,0
5707,3,5,7,1200,225,341,0,0,0,0
5708,4,4,12.33,1200,120,26,0,0,0,0
5709,4,8,3.66,1200,251,185,0,0,0,0
5710,2,6,10.75,1200,465,507,0,0,0,0
5711,6,6,19.83,1200,-4,,0,,0,
5712,4,8,2.66,1300,3,13,0,0,0,0
5713,7,5,4.58,1200,69,,0,,0,
5714,4,5,14.5,1200,-29,-61,0,0,0,0
5715,,,23.33,1200,225,36,0,0,0,0
5716,,,11.83,1200,283,,0,,0,
5717,4,6,1.66,1300,-49,-88,0,0,0,0
5718,5,5,24,1200,21,-45,0,0,0,0
5719,,,5.25,1200,-24,,0,,0,
5720,,,2.58,1200,-25,,0,,0,
5721,4,9,6.58,1200,336,389,0,0,0,0
5722,6,6,17.5,1200,952,685,0,0,0,0
5723,,,17,1200,953,818,0,0,0,0
5724,,,2.41,1200,-145,,0,,0,
5725,,,12.91,1200,-14,,0,,0,
5726,3,8,0.66,1200,79,-31,0,0,0,0
5727,2,9,2.33,1200,217,205,0,0,0,0
5728,,,2.83,1100,-21,-10,0,0,0,0
5729,5,7,30.08,1200,289,250,0,0,0,0
5730,4,6,7.58,1200,466,567,0,0,0,0
5731,5,7,11.83,1300,1602,2651,1,1,0,0
5732,,,6.41,1200,-13,-36,0,1,0,0
5733,,,7.41,1200,-64,193,0,0,0,0
5734,6,8,9.33,1200,-60,-60,0,0,0,0
5735,5,6,22.83,1200,228,330,0,0,0,0
5736,4,4,2.66,1200,-56,-69,0,0,0,0
5737,2,1,1.5,1200,-35,-4,0,0,0,0
5738,7,4,22.16,1200,-66,-19,0,0,0,0
5739,,,0.25,1200,-25,109,0,1,0,0
5740,6,6,0.5,1200,28,158,0,0,0,0
5741,4,9,20.58,1200,738,160,0,0,0,0
5742,,,18.41,1200,-41,-34,0,0,0,0
5743,,,11.41,1200,16,15,0,0,0,0
5744,6,6,16.66,1200,297,426,0,0,0,0
5745,5,8,19.16,1200,804,475,0,0,0,0
5746,4,6,8.33,1200,-21,387,0,0,0,0
5747,7,3,29.58,1200,474,619,0,0,0,0
5748,2,6,8.16,1200,22,90,0,0,0,0
5749,6,,7.58,1200,-64,-76,0,0,0,0
5750,3,9,4.58,1200,137,-4,1,1,0,0
5751,7,6,2.08,1300,9,7,0,0,0,0
5752,7,8,23.66,1200,790,842,0,0,0,0
5753,,,30.5,1200,290,,0,,0,
5754,2,9,3.83,1200,-10,-47,0,0,0,0
5755,7,6,32.25,1200,-48,1,0,0,0,0
5756,7,1,2.25,1100,-27,-4,0,0,0,0
5757,,,4.91,1300,59,-136,0,0,0,0
5758,4,6,13.58,1200,-124,-71,0,0,0,0
5759,4,6,26,1200,164,173,0,1,0,0
5760,6,2,24.08,1100,-79,-75,0,0,0,0
5761,6,6,9.08,1100,91,826,0,0,0,0
5762,5,5,6.33,1100,-182,19,0,0,0,0
5763,,,3.83,1200,-5,,0,,0,
5764,,,30.66,1200,642,280,0,0,0,0
5765,3,9,15.41,1200,168,139,0,0,0,0
5766,5,4,15.16,1200,367,185,0,0,0,0
5767,,,7.08,1300,278,,0,,0,
5768,,,0.66,1200,-4,,1,,0,
5769,3,6,6.91,1100,72,89,0,0,0,0
5770,,,10,1200,-22,34,0,0,0,0
5771,,,17.66,1300,-73,,0,,0,
5772,4,6,11,1200,1,-24,0,0,0,0
5773,3,6,9.33,1200,560,423,0,0,0,0
5774,3,4,5.91,1200,160,391,0,0,0,0
5775,3,,8,1300,1144,1169,0,0,0,0
5776,4,9,2.58,1200,-33,291,0,0,0,0
5777,3,7,4,1300,372,289,0,0,0,0
5778,,,1,1100,-24,3,0,0,0,0
5779,3,5,4.66,1200,-18,-80,0,0,0,0
5780,2,6,10.66,1100,60,248,1,1,0,0
5781,7,7,2.5,1200,137,67,0,0,0,0
5782,6,1,17.33,1200,-65,-58,0,0,0,0
5783,,,0.83,1200,1,14,1,1,0,0
5784,5,4,26.33,1300,7,46,0,0,0,0
5785,6,3,31.75,1200,-1,62,0,0,0,0
5786,2,7,0.91,1300,-9,-11,0,0,0,0
5787,3,7,10.66,1200,248,301,0,0,0,0
5788,,,14.83,1200,-48,,0,,0,
5789,6,3,18.83,1200,1013,1151,0,0,0,0
5790,,,8.33,1200,-44,-45,0,0,0,0
5791,4,5,5.91,1200,74,-29,0,0,0,0
5792,7,5,33,1100,123,390,0,0,0,0
5793,4,7,9.58,1200,-29,53,0,0,0,0
5794,,,1.83,1200,16,-52,0,0,0,0
5795,1,,7.75,1200,12,,0,,0,
5796,5,6,15,1200,-32,563,0,0,0,0
5797,,,9.08,1200,363,345,0,0,0,0
5798,,,16,1200,95,84,0,0,0,0
5799,3,7,10.58,1200,-42,7,0,0,0,0
5800,6,9,6.08,1200,-57,40,0,0,0,0
5801,,,4.5,1200,125,,0,,0,
5802,4,3,4.75,1300,-59,18,0,0,0,0
5803,5,8,1.58,1200,222,358,0,0,0,0
5804,4,6,26.5,1200,-9,386,0,0,0,0
5805,,,4.58,1200,111,292,0,0,0,0
5806,4,7,4.5,1200,613,550,0,0,0,0
5807,3,6,20,1200,-144,14,0,0,0,0
5808,,,1.16,1200,-21,,0,,0,
5809,,,1.66,1300,5,-52,0,0,0,0
5810,7,4,2.66,1200,45,-36,0,0,0,0
5811,,,2.91,1300,25,13,0,0,0,0
5812,3,9,2.91,1200,293,256,0,0,0,0
5813,4,5,20.41,1200,729,606,0,0,0,0
5814,,,1.83,1200,-24,,0,,0,
5815,1,3,0.25,1200,136,71,0,0,0,0
5816,,4,7,1200,-31,-31,0,0,0,0
5817,3,5,1.41,1300,-25,,0,,0,
5818,2,4,3.5,1100,499,658,1,1,0,0
5819,4,6,13,1200,-2,-1,0,0,0,0
5820,2,7,7.08,1100,-56,-3,1,1,0,0
5821,6,9,2.66,1200,-4,-5,0,0,0,0
5822,6,5,30.16,1100,-47,-31,0,0,0,0
5823,6,4,11.83,1200,869,683,0,0,0,0
5824,4,6,22.83,1200,417,693,1,1,0,0
5825,6,4,33,1200,60,,0,,0,
5826,3,3,1.91,1100,-30,-48,0,0,0,0
5827,4,7,16.08,1300,-50,-47,0,0,0,0
5828,,,6.5,1200,105,141,0,0,0,0
5829,4,1,3.66,1300,-20,-18,0,0,0,0
5830,4,7,7.83,1200,12,12,0,0,0,0
5831,3,6,18.08,1200,53,144,0,0,0,0
5832,,,26.58,1300,56,56,0,0,0,0
5833,5,7,5.41,1200,-25,-4,0,0,0,0
5834,,,1.41,1200,-9,-3,0,0,0,0
5835,4,6,14.41,1200,117,131,0,0,0,0
5836,5,9,9.5,1200,516,352,0,0,0,0
5837,3,6,21.5,1200,-2,31,0,0,0,0
5838,,,5.33,1200,-7,-194,0,0,0,0
5839,6,4,15.83,1100,-69,-80,0,0,0,0
5840,2,8,7.41,1200,-35,-48,0,0,0,0
5841,,,0.66,1200,-27,,0,,0,
5842,,,8,1200,450,,0,,0,
5843,,,6.41,1200,155,,0,,0,
5844,,,0.41,1200,-11,,0,,0,
5845,,,2.58,1200,-139,,0,,0,
5846,,,30.08,1200,504,1011,0,0,0,0
5847,7,6,9.75,1200,-102,-143,0,0,0,0
5848,6,9,16.5,1200,438,164,0,0,0,0
5849,7,6,15.58,1200,271,166,0,0,0,0
5850,,,25.33,1100,330,339,0,0,0,0
5851,,,0.33,1200,-5,,0,,0,
5852,4,6,12.75,1200,38,24,1,1,0,0
5853,3,1,2.83,1300,-21,72,1,1,0,0
5854,3,9,7.08,1200,244,993,0,0,0,0
5855,3,6,7.58,1200,-174,-202,1,1,0,1
5856,3,6,2.5,1200,-39,-27,0,0,0,0
5857,7,5,32.66,1300,228,156,0,0,0,0
5858,,,4.33,1100,-94,,0,,0,
5859,4,5,19,1200,239,,0,,0,
5860,2,4,6.33,1200,141,185,0,0,0,0
5861,4,3,22.91,1300,143,55,0,0,0,0
5862,,,3.75,1200,-15,,0,,0,
5863,4,7,1.83,1200,-2,-3,0,0,0,0
5864,1,,5.25,1300,-62,-8,1,1,0,1
5865,6,5,7.41,1200,119,128,1,0,0,0
5866,2,9,3,1200,-157,-65,1,1,0,0
5867,5,8,22.33,1200,43,61,0,0,0,0
5868,3,7,5,1200,64,,1,,0,
5869,3,6,2.5,1200,-4,-33,0,0,0,0
5870,,,10.25,1200,-34,21,0,0,0,0
5871,4,4,8.83,1300,288,72,0,0,0,0
5872,2,7,7.25,1200,632,584,0,0,0,0
5873,,,6.33,1200,-33,,0,,0,
5874,3,6,3.83,1300,-21,-32,0,0,0,0
5875,4,9,8,1200,272,247,0,0,0,0
5876,4,6,20.91,1300,-6,-97,1,1,0,0
5877,6,3,11.25,1300,95,93,0,0,0,0
5878,4,8,31.83,1200,-85,-60,0,1,0,0
5879,4,1,2.58,1200,320,94,0,1,0,0
5880,4,2,5.91,1200,75,-570,0,0,0,0
5881,7,5,25.83,1200,246,147,0,0,0,0
5882,3,3,7.41,1200,-22,-22,0,0,0,0
5883,,,5.91,1200,-62,-56,1,1,0,0
5884,4,6,9.58,1200,-29,246,0,0,0,0
5885,,,1.66,1200,104,,0,,0,
5886,2,1,3.75,1200,-52,-36,0,0,0,0
5887,3,6,9.41,1200,-98,-7,0,0,0,0
5888,3,9,8,1200,744,,0,,0,
5889,5,6,8.58,1200,-122,-132,0,0,0,0
5890,,,6.33,1100,-3,,0,,0,
5891,3,,3.91,1200,-7,-5,0,0,0,0
5892,7,4,5.16,1200,1619,17,0,0,0,0
5893,7,1,13.08,1200,559,801,0,0,0,0
5894,,,0.41,1200,15,16,0,0,0,0
5895,,,30.75,1200,-2,-11,0,0,0,0
5896,,,8.41,1200,411,31,0,1,0,0
5897,7,3,20.41,1200,-18,-35,0,0,0,0
5898,6,4,9.91,1200,-72,86,0,0,0,0
5899,6,5,5.16,1200,-2,-3,0,0,0,0
5900,4,9,14.33,1200,432,458,1,1,0,0
5901,2,4,6.83,1200,325,496,1,1,0,0
5902,4,5,1.58,1200,-118,-39,0,0,0,0
5903,3,1,4.16,1100,-28,-28,0,0,0,0
5904,4,9,26,1200,104,59,0,0,0,0
5905,5,2,24.75,1300,1392,-171,0,0,0,0
5906,7,5,1.41,1300,-50,-19,0,0,0,0
5907,5,8,2.33,1200,-25,-7,1,0,0,0
5908,5,6,3.66,1200,-55,-73,0,1,0,0
5909,5,8,32.41,1100,321,,0,,0,
5910,1,4,1.5,1200,-34,189,0,0,0,0
5911,,,4.91,1200,-20,,0,,0,
5912,7,3,20.5,1200,258,325,0,0,0,0
5913,3,4,9.83,1300,364,315,0,0,0,0
5914,5,9,7.33,1200,-110,-55,0,0,0,0
5915,2,1,7.33,1300,-18,-25,0,0,0,0
5916,5,3,23,1200,41,45,0,0,0,0
5917,2,3,9.41,1200,-22,33,0,0,0,0
5918,3,7,9.58,1300,399,42,0,0,0,0
5919,2,5,4.08,1200,56,,0,,0,
5920,,,1.41,1100,-29,-51,0,0,0,0
5921,3,9,14.83,1200,-11,66,0,0,0,0
5922,3,7,8.75,1200,39,-177,0,1,0,1
5923,4,5,21.41,1200,-39,-30,0,0,0,0
5924,6,3,1.83,1200,-53,2,0,0,0,0
5925,3,6,12.33,1200,13,249,0,0,0,0
5926,5,8,12.41,1300,-26,-21,0,0,0,0
5927,,1,16.5,1200,-39,-109,0,0,0,0
5928,3,3,12.58,1200,-71,,1,,0,
5929,,,1.41,1300,96,,0,,0,
5930,,,8.16,1200,-25,-8,0,0,0,0
5931,7,5,7.33,1200,-100,-4,0,0,0,0
5932,,,3.58,1200,13,,0,,0,
5933,,,27.25,1200,1935,382,0,1,0,0
5934,,,6.16,1200,-45,5,1,1,0,1
5935,3,4,4.41,1200,-61,-55,0,0,0,0
5936,3,6,11.5,1200,-56,107,0,0,0,0
5937,2,6,1.08,1300,-61,-65,0,1,0,0
5938,7,4,10.08,1200,34,92,0,1,0,1
5939,,,2.66,1100,-14,,0,,0,
5940,,,1.58,1200,-4,-5,0,0,0,0
5941,7,2,35.08,1300,51,194,0,0,0,0
5942,6,9,9.25,1200,1,61,0,0,0,0
5943,5,8,14.91,1200,265,248,0,1,0,0
5944,,,0.5,1200,-2,-29,0,0,0,0
5945,7,7,16.41,1200,286,173,0,0,0,0
5946,3,8,10.08,1200,-220,-184,1,1,0,0
5947,4,6,20.33,1200,-86,-116,0,0,0,0
5948,4,7,19.5,1200,49,16,0,0,0,0
5949,,,12.25,1200,-132,-170,0,0,0,0
5950,3,9,13.58,1200,347,203,0,0,0,0
5951,2,3,5.16,1300,189,-32,0,0,0,0
5952,4,6,4.5,1100,-66,-2,0,0,0,0
5953,3,,0.41,1200,-81,-59,0,0,0,0
5954,,,15.75,1200,-74,-421,0,1,0,0
5955,3,5,3.41,1300,-132,-121,1,1,0,0
5956,3,4,12.16,1300,-108,-129,0,0,0,0
5957,,,2.58,1200,26,-1,0,0,0,0
5958,4,5,12.91,1200,105,48,0,0,0,0
5959,,,12.91,1200,315,,0,,0,
5960,5,9,9,1200,-204,-32,0,1,0,0
5961,1,1,6.66,1200,-43,-44,1,1,0,0
5962,5,7,7.75,1200,-165,332,0,0,0,0
5963,,,0.25,1200,7,,0,,0,
5964,3,3,10.08,1100,-28,-28,0,0,0,0
5965,,8,4.25,1200,-2,5,0,0,0,0
5966,4,4,20.83,1300,106,212,0,1,0,0
5967,,,26.08,1100,227,309,0,0,0,0
5968,,,12.25,1100,366,,0,,0,
5969,5,6,8.25,1300,-21,34,0,0,0,0
5970,,,0.83,1200,-6,,0,,0,
5971,7,7,11.5,1200,702,848,0,0,0,0
5972,,5,17.58,1100,146,151,1,1,0,0
5973,,,6.83,1200,-72,-56,0,1,0,0
5974,2,3,13.58,1200,286,693,0,0,0,0
5975,,,7.16,1200,-134,-36,0,0,0,0
5976,7,5,18.58,1200,-41,-42,0,0,0,0
5977,4,7,14.16,1200,1331,926,0,0,0,0
5978,2,3,27.58,1200,126,116,0,0,0,0
5979,5,6,17.16,1200,-26,112,0,0,0,0
5980,2,8,8.58,1200,-74,-96,0,0,0,0
5981,,,6.41,1300,-49,-10,1,1,0,0
5982,,,27.91,1200,-107,60,0,0,0,0
5983,4,1,3.5,1300,-30,-31,0,0,0,0
5984,7,2,26.83,1300,-156,-156,0,0,0,0
5985,,,17.91,1200,-59,,0,,0,
5986,4,5,12.08,1200,75,170,1,1,0,0
5987,4,8,0.66,1200,-28,,0,,0,
5988,3,2,0.91,1200,1,0,0,0,0,0
5989,3,8,14.16,1200,777,739,0,0,0,0
5990,,,13.16,1300,42,,0,,0,
5991,3,3,1.33,1200,-80,-37,1,1,0,0
5992,3,3,13.33,1200,12,,0,,0,
5993,,,1.25,1200,3,10,0,0,0,0
5994,5,7,19.33,1200,796,800,0,0,0,0
5995,3,5,0.33,1300,-2,-16,0,0,0,0
5996,5,7,6,1200,-11,-26,0,0,0,0
5997,,,7,1200,469,,0,,0,
5998,,,7.08,1200,-54,-42,0,0,0,0
5999,7,4,14,1200,23,-29,0,0,0,0
6000,,,1.5,1300,137,125,0,0,0,0
6001,,7,0.66,1200,37,,0,,0,
6002,7,7,12.58,1200,-64,-58,0,0,0,0
6003,4,4,14.08,1200,241,769,0,0,0,0
6004,3,5,4.41,1200,-52,6,0,0,0,0
6005,5,3,4,1200,-32,89,0,0,0,0
6006,2,6,2.91,1200,-33,118,0,0,0,0
6007,1,5,19.5,1200,226,154,0,1,0,0
6008,7,1,22.08,1300,-136,-125,0,0,0,0
6009,3,9,3.91,1200,929,567,0,0,0,0
6010,,,7.41,1300,9,76,0,0,0,0
6011,3,6,10.83,1200,510,1376,0,1,0,0
6012,3,5,3.41,1100,-28,26,0,0,0,0
6013,3,5,3.83,1200,114,27,0,0,0,0
6014,3,7,4.66,1200,-16,129,0,0,0,0
6015,4,9,23.91,1200,715,433,1,1,0,0
6016,,,4,1300,-168,,0,,0,
6017,2,7,6.75,1200,-85,-64,1,1,0,0
6018,,9,2.58,1200,8,,0,,0,
6019,5,5,5.16,1100,145,-79,0,0,0,0
6020,,,16.41,1200,109,,0,,0,
6021,7,2,12.25,1200,-35,-28,0,0,0,0
6022,7,6,19.75,1200,-104,-150,1,0,0,0
6023,4,9,20.5,1200,1,158,0,0,0,0
6024,3,1,2.91,1200,2,19,0,1,0,0
6025,6,6,13.66,1200,-72,-22,0,0,0,0
6026,7,1,21,1300,61,12,0,0,0,0
6027,,,6.58,1100,-173,-92,0,0,0,0
6028,3,8,10.25,1200,73,19,0,1,0,0
6029,6,5,7.75,1200,790,340,0,0,0,0
6030,7,,5.75,1200,572,457,0,0,0,0
6031,,,2.08,1200,248,,0,,0,
6032,1,,2.16,1200,0,29,0,0,0,0
6033,,,5.58,1200,-3,-3,0,0,0,0
6034,3,2,7.33,1200,-2,-2,0,0,0,0
6035,4,6,7.91,1300,-27,-84,0,0,0,0
6036,2,5,5.08,1200,160,238,0,1,0,1
6037,4,9,25.41,1200,63,-68,0,0,0,0
6038,,,2.08,1200,540,,0,,0,
6039,3,5,5.83,1200,-34,-48,0,0,0,0
6040,,,4.66,1300,17,-22,0,0,0,0
6041,2,3,5.5,1200,319,751,0,0,0,0
6042,5,5,24,1300,-50,-46,0,0,0,0
6043,,,2.5,1100,4,-34,0,0,0,0
6044,7,4,38,1300,-96,-75,0,0,0,0
6045,3,9,6.58,1200,405,636,1,1,1,1
6046,2,6,11,1200,-34,-13,1,1,0,0
6047,6,1,8.83,1200,376,617,0,0,0,0
6048,4,6,1.5,1200,45,-29,0,1,0,0
6049,5,5,32.66,1300,-6,20,0,0,0,0
6050,5,7,10.75,1200,284,348,1,1,0,0
6051,2,5,1.33,1200,-48,43,0,0,0,0
6052,5,3,4.08,1200,47,-50,0,1,0,0
6053,,,9.41,1200,16,49,0,0,0,0
6054,2,7,5.66,1300,-2,-2,0,0,0,0
6055,5,5,7.5,1200,-37,7,0,0,0,0
6056,,,2.08,1100,539,,0,,0,
6057,,,10.91,1300,56,,0,,0,
6058,7,4,2.08,1200,334,187,0,0,0,0
6059,5,1,30.91,1300,318,226,0,0,0,0
6060,4,6,14.83,1200,28,89,0,0,0,0
6061,3,3,3.5,1200,-46,-38,0,1,0,0
6062,2,7,5.08,1200,46,75,0,0,0,0
6063,2,7,1.91,1200,266,196,0,0,0,0
6064,4,1,12,1200,187,242,0,0,0,0
6065,4,4,24.58,1100,-170,,0,,0,
6066,5,6,2.41,1200,-54,-83,1,1,0,0
6067,4,5,25.91,1200,5,-50,0,0,0,0
6068,4,6,4,1200,365,323,0,1,0,0
6069,,,1.83,1200,150,133,0,0,0,0
6070,7,1,14.58,1200,-55,326,0,0,0,0
6071,,,6.08,1200,-39,,1,,0,
6072,3,3,4.16,1200,-22,-21,0,0,0,0
6073,2,4,1.83,1200,-3,-76,0,0,0,0
6074,6,9,3.75,1200,793,375,0,0,0,0
6075,3,6,3,1300,231,178,0,1,0,0
6076,2,3,1.25,1200,10,-34,0,0,0,0
6077,5,6,27.83,1200,53,76,0,0,0,0
6078,2,8,1.83,1200,-37,-88,0,0,0,0
6079,4,5,15.33,1200,825,1178,0,1,0,0
6080,2,6,6.66,1300,-171,305,0,1,0,0
6081,6,9,12.83,1200,336,-59,1,1,0,0
6082,6,7,31.08,1200,-71,-59,0,0,0,0
6083,6,1,26,1100,723,1009,0,0,0,0
6084,,,13.5,1300,1594,,0,,0,
6085,2,6,8.33,1200,1543,67,0,0,0,0
6086,5,3,7.16,1300,82,-19,0,0,0,0
6087,4,5,12.75,1300,3,1,0,0,0,0
6088,3,,15.08,1200,12,90,0,0,0,0
6089,4,6,14.66,1200,418,474,0,0,0,0
6090,,,25.58,1200,1107,926,0,0,0,0
6091,7,6,15.75,1200,470,382,0,0,0,0
6092,1,1,3.33,1200,-43,-42,0,0,0,0
6093,5,9,5.58,1200,39,35,0,0,0,0
6094,5,4,2.5,1300,-111,20,0,0,0,0
6095,5,2,20.41,1200,-50,-26,0,0,0,0
6096,5,7,1.58,1200,1322,1046,1,1,1,1
6097,2,1,2.33,1200,-20,42,0,0,0,0
6098,3,4,7.25,1200,-20,-20,0,0,0,0
6099,5,7,31.91,1200,119,-19,0,0,0,0
6100,7,1,5.33,1200,-38,-15,1,1,0,0
6101,4,8,11.41,1200,289,339,1,1,0,0
6102,,,12.91,1300,308,16,0,0,0,0
6103,,,15.08,1200,179,,0,,0,
6104,7,4,9.91,1200,396,649,0,0,0,0
6105,5,6,4.33,1200,1,55,0,0,0,0
6106,4,1,4.41,1200,-2,-2,0,0,0,0
6107,3,8,14.75,1200,37,-6,0,0,0,0
6108,3,4,12,1100,-147,-106,1,1,0,0
6109,3,6,19.91,1200,370,144,0,0,0,0
6110,,,22.08,1200,254,355,0,0,0,0
6111,6,6,11.5,1200,472,467,0,0,0,0
6112,4,9,11.08,1200,149,274,0,0,0,0
6113,4,6,13,1200,135,-21,0,0,0,0
6114,4,5,6.16,1100,819,653,0,0,0,0
6115,4,6,20.5,1100,-79,42,1,1,0,0
6116,3,7,18.91,1200,-92,-39,0,0,0,0
6117,2,7,13.5,1200,1036,1288,0,0,0,0
6118,,,0.25,1200,-78,,0,,0,
6119,,,0.5,1200,28,,0,,0,
6120,6,3,6.75,1200,72,,0,,0,
6121,,,9.33,1200,173,167,0,0,0,0
6122,,,12.5,1300,-49,,0,,0,
6123,,,21.16,1100,-148,-86,1,1,0,0
6124,3,6,5.25,1200,37,33,0,0,0,0
6125,2,,1.5,1200,-19,38,0,0,0,0
6126,,,13.25,1200,0,-1,0,0,0,0
6127,7,6,22.08,1200,4,-94,0,0,0,0
6128,,,4.66,1200,33,,0,,0,
6129,6,2,14.66,1100,-71,,0,,0,
6130,6,6,4.41,1200,35,-91,0,0,0,0
6131,4,9,5.5,1200,-53,0,0,0,0,0
6132,,,17.16,1200,-83,134,0,0,0,0
6133,3,1,12.66,1200,44,96,0,0,0,0
6134,4,4,26.5,1200,-24,-15,0,0,0,0
6135,3,7,8.33,1200,284,367,1,1,0,0
6136,,,4.41,1200,-26,-66,1,1,0,0
6137,1,1,7.66,1200,-25,5,0,0,0,0
6138,,,4.91,1100,-30,-30,0,0,0,0
6139,6,2,15.66,1100,58,-37,0,0,0,0
6140,2,3,4.16,1200,83,-23,0,0,0,0
6141,4,7,3,1200,-158,-127,1,1,0,0
6142,4,7,6.08,1200,-10,-27,0,0,0,0
6143,3,4,2.41,1300,-33,52,0,0,0,0
6144,4,5,2.66,1200,279,1022,0,1,0,0
6145,2,1,4.66,1200,-2,-3,0,0,0,0
6146,3,8,4.16,1200,-203,9,1,1,0,0
6147,3,4,16.08,1200,399,158,0,0,0,0
6148,,7,5,1300,-84,-182,0,0,0,0
6149,,,6.33,1100,-14,-100,1,1,1,0
6150,3,2,5.83,1200,-93,-104,0,0,0,0
6151,2,4,11.75,1200,-16,5,0,1,0,0
6152,4,8,4.75,1200,57,,0,,0,
6153,3,7,2.91,1200,1,,0,,0,
6154,7,7,13.66,1300,85,315,0,1,0,0
6155,7,6,2.08,1100,-52,-34,0,0,0,0
6156,,,21.08,1200,-96,-66,0,0,0,0
6157,4,4,6.33,1300,743,815,0,0,0,0
6158,6,7,2.91,1200,-21,-92,1,1,0,0
6159,3,3,6.16,1200,103,190,1,1,0,1
6160,5,6,11.66,1200,-2,-61,0,0,0,0
6161,5,7,12.75,1300,233,72,1,1,1,0
6162,,,2.33,1200,153,189,0,1,0,0
6163,6,9,13.33,1200,336,21,0,0,0,0
6164,,,0.75,1200,-27,,0,,0,
6165,3,4,6.83,1100,-54,-60,0,0,0,0
6166,,,16,1300,-93,,1,,0,
6167,5,6,8.75,1200,-50,17,0,0,0,0
6168,2,7,6.66,1200,-38,-48,0,1,0,0
6169,,3,0.25,1200,21,9,0,0,0,0
6170,3,1,0.91,1200,27,-33,0,0,0,0
6171,7,6,20.33,1100,-29,13,0,0,0,0
6172,5,8,9.58,1200,-8,666,0,0,0,0
6173,2,3,2.16,1200,1,-17,0,0,0,0
6174,,,4.41,1200,-14,,0,,0,
6175,,,4,1200,3,,0,,0,
6176,3,6,25.08,1200,-19,5,0,0,0,0
6177,5,1,18.66,1200,-115,-161,0,0,0,0
6178,5,6,5.66,1300,1228,708,0,0,0,0
6179,,,6,1200,-76,,0,,0,
6180,4,3,1.25,1300,-37,-84,0,0,0,0
6181,2,7,3,1200,-40,,1,,0,
6182,,,10.83,1200,199,,0,,0,
6183,,,2.16,1200,-16,-14,0,0,0,0
6184,5,8,4.41,1200,-12,-31,0,0,0,0
6185,6,2,3.16,1200,-38,-44,0,0,0,0
6186,2,3,3.58,1200,110,805,0,0,0,0
6187,3,4,2.91,1100,-40,-93,1,1,0,0
6188,3,8,18.41,1200,150,207,0,0,0,0
6189,3,6,15.08,1300,188,489,1,1,0,0
6190,,,5.5,1200,75,-108,0,1,0,0
6191,4,8,7.25,1200,216,192,1,1,1,1
6192,6,3,7.58,1200,-16,19,0,0,0,0
6193,3,6,4.25,1200,6,21,0,0,0,0
6194,,,4.25,1200,3,,0,,0,
6195,,,6.75,1200,72,,1,,0,
6196,4,1,1.58,1200,1858,-39,0,0,0,0
6197,6,5,1.41,1100,-5,-73,0,0,0,0
6198,3,9,11.91,1200,-43,356,0,0,0,0
6199,4,1,8.58,1200,85,93,0,0,0,0
6200,2,7,5.16,1200,-12,311,0,0,0,0
6201,4,6,16.75,1200,-8,-26,0,0,0,0
6202,2,4,2.08,1300,-31,-19,0,0,0,0
6203,4,6,27.08,1200,7,204,0,0,0,0
6204,4,5,2.16,1200,24,72,0,0,0,0
6205,5,6,11.25,1200,358,321,0,0,0,0
6206,6,6,30.58,1300,520,-39,0,0,0,0
6207,2,2,4.58,1300,-24,-24,0,0,0,0
6208,5,5,15.33,1200,-145,-189,0,0,0,0
6209,,,0.41,1300,-8,,0,,0,
6210,4,6,7.5,1200,29,62,0,0,0,0
6211,2,8,7.5,1200,-45,-4,0,1,0,0
6212,4,9,6.75,1200,-54,-63,0,0,0,0
6213,2,8,3.33,1200,140,137,0,0,0,0
6214,5,3,18.91,1200,-69,-58,0,0,0,0
6215,4,6,7.83,1200,1330,798,0,0,0,0
6216,3,6,5.41,1200,280,6,0,0,0,0
6217,,,8.75,1200,-2,49,0,0,0,0
6218,,,7.75,1100,-197,-186,1,1,0,0
6219,6,4,1.5,1200,-15,-39,0,0,0,0
6220,4,4,2.16,1200,0,-14,0,0,0,0
6221,,,31.33,1200,64,61,0,0,0,0
6222,5,9,29.75,1200,-165,,0,,0,
6223,7,7,17.66,1300,5,12,0,0,0,0
6224,4,6,7,1200,4,14,0,0,0,0
6225,5,1,1.66,1300,-79,-63,0,0,0,0
6226,6,5,10.83,1200,3,-77,0,0,0,0
6227,3,9,5.41,1100,36,,0,,0,
6228,4,6,4.75,1200,-62,-56,0,0,0,0
